"id","aliases","published","modified","summary","databaseSeverity","matchedCoordinates","prodReleaseCoordinates","disposition","references","verificationDate","evidenceStatus"
"GHSA-2363-cqg2-863c","BIT-solr-2021-33813; CVE-2021-33813","7/27/2021 7:02:56 PM","9/16/2025 3:52:31 PM","XML External Entity (XXE) Injection in JDOM","HIGH","org.jdom:jdom2:2.0.6","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/hunterhacker/jdom/issues/189; https://lists.apache.org/thread.html/rfb7a93e40ebeb1e0068cde0bf3834dcab46bb1ef06d6424db48ed9fd@%3Cdev.tika.apache.org%3E; https://lists.apache.org/thread.html/rbc075a4ac85e7a8e47420b7383f16ffa0af3b792b8423584735f369f@%3Cissues.solr.apache.org%3E; https://lists.apache.org/thread.html/r9974f64723875052e02787b2a5eda689ac5247c71b827d455e5dc9a6@%3Cissues.solr.apache.org%3E; https://lists.apache.org/thread.html/r89b3800cfabb1e773e49425e5d4239c28a659839a2eca6af3431482e@%3Cissues.solr.apache.org%3E; https://lists.apache.org/thread.html/r845e987b7cd8efe610284958e997b84583f5a98d3394adc09e3482fe@%3Cissues.solr.apache.org%3E; https://lists.apache.org/thread.html/r6db397ae7281ead825338200d1f62d2827585a70797cc9ac0c4bd23f@%3Cissues.solr.apache.org%3E; https://lists.apache.org/thread.html/r5674106135bb1a6ef57483f4c63a9c44bca85d0e2a8a05895a8f1d89@%3Cissues.solr.apache.org%3E; https://lists.apache.org/thread.html/r21c406c7ed88fe340db7dbae75e58355159e6c324037c7d5547bf40b@%3Cissues.solr.apache.org%3E; https://github.com/hunterhacker/jdom/releases/tag/JDOM-2.0.6.1; https://github.com/hunterhacker/jdom/releases","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-3677-xxcr-wjqv","CVE-2024-29371","12/17/2025 6:31:33 PM","2026-09-10T03:50:31.318789886Z","jose4j is vulnerable to DoS via compressed JWE content","HIGH","org.bitbucket.b_c:jose4j:0.9.5","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://bitbucket.org/b_c/jose4j/commits/19a90a64c47bb07c4aa5462f1316d5c293d81fcf; https://bitbucket.org/b_c/jose4j/issues/220/vuln-zip-bomb-attack; https://bitbucket.org/b_c/jose4j/wiki/Home","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-389x-839f-4rhx","CVE-2025-25193","2/10/2025 6:14:47 PM","2026-09-10T03:50:22.454183571Z","Denial of Service attack on windows app using Netty","MODERATE","io.netty:netty-common:4.1.110.Final; io.netty:netty-common:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-389x-839f-4rhx","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-38f8-5428-x5cv","CVE-2026-42585","5/7/2026 12:22:27 AM","2026-09-10T03:51:04.415985581Z","Netty vulnerable to HTTP Request Smuggling due to malformed Transfer-Encoding","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-38f8-5428-x5cv","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-3p8m-j85q-pgmj","CVE-2025-58057","9/3/2025 6:00:55 PM","2026-09-10T03:50:27.942019467Z","Netty's decoders vulnerable to DoS via zip bomb style attack","MODERATE","io.netty:netty-codec:4.1.110.Final; io.netty:netty-codec:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-3p8m-j85q-pgmj","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-3qp7-7mw8-wx86","CVE-2026-44249","6/8/2026 7:00:33 PM","2026-09-10T03:50:55.436123619Z","Netty has an IPv6 Subnet Filter Bypass via Incorrect Comparator Masking","HIGH","io.netty:netty-handler:4.1.110.Final; io.netty:netty-handler:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-3qp7-7mw8-wx86","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-4265-ccf5-phj5","CVE-2024-26308","2/19/2024 9:30:52 AM","2026-09-10T03:50:05.280645047Z","Apache Commons Compress: OutOfMemoryError unpacking broken Pack200 file","MODERATE","org.apache.commons:commons-compress:1.21","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://lists.apache.org/thread/ch5yo2d21p7vlqrhll9b17otbyq4npfg","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-45q3-82m4-75jr","CVE-2026-42578","5/7/2026 12:11:40 AM","2026-09-10T03:51:04.662453637Z","Netty has HTTP Header Injection via HttpProxyHandler Disabled Validation (Incomplete Fix CVE-2025-67735)","LOW","io.netty:netty-handler-proxy:4.1.110.Final; io.netty:netty-handler-proxy:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-45q3-82m4-75jr","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-4g8c-wm8x-jfhw","CVE-2025-24970","2/10/2025 5:38:10 PM","2026-09-10T03:50:22.400091931Z","SslHandler doesn't correctly validate packets which can lead to native crash when using native SSLEngine","HIGH","io.netty:netty-handler:4.1.110.Final; io.netty:netty-handler:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-4g8c-wm8x-jfhw","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-4g9r-vxhx-9pgx","CVE-2024-25710","2/19/2024 9:30:50 AM","2026-09-10T03:50:05.286961308Z","Apache Commons Compress: Denial of service caused by an infinite loop for a corrupted DUMP file","MODERATE","org.apache.commons:commons-compress:1.21","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://lists.apache.org/thread/cz8qkcwphy4cx8gltn932ln51cbtq6kf","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
