"group","artifact","version","filename","type","classifier","bytes","sha256"
"androidx.activity","activity","1.9.3","activity-1.9.3.aar","aar",,"214105","7e45d2023dc17d715ffff3dc5792f798642c4ae11c948006b1752ab9edda5707"
"androidx.activity","activity-compose","1.9.3","activity-compose-1.9.3.aar","aar",,"1139788","0f5098a9e2b173a6c5a48f08251e7e949be12e6ee8b3a587b13b0830f1639297"
"androidx.activity","activity-ktx","1.9.3","activity-ktx-1.9.3.aar","aar",,"2130","e2da34f68cac557986280198e5c1546b8a245269b050b1cc90b56916dbf69201"
"androidx.annotation","annotation","1.3.0","annotation-1.3.0.jar","jar",,"31705","97dc45afefe3a1e421da42b8b6e9f90491477c45fc6178203e3a5e8a05ee8553"
"androidx.annotation","annotation-experimental","1.4.1","annotation-experimental-1.4.1.aar","aar",,"39841","6bd4c7c7476f8260cd3bdbb81183583e93fc9f790c27dea7dc314181cbf87aa0"
"androidx.annotation","annotation-jvm","1.8.1","annotation-jvm-1.8.1.jar","jar",,"56126","9aab326d9492800991854360ac248f493ce7f7c3183519309b78ace9e240f6f6"
"androidx.appcompat","appcompat","1.2.0","appcompat-1.2.0.aar","aar",,"1109871","3d2131a55a61a777322e2126e0018011efa6339e53b44153eb651b16020cca70"
"androidx.appcompat","appcompat-resources","1.2.0","appcompat-resources-1.2.0.aar","aar",,"62834","c470297c03ff3de1c3d15dacf0be0cae63abc10b52f021dd07ae28daa3100fe5"
"androidx.arch.core","core-common","2.2.0","core-common-2.2.0.jar","jar",,"11657","65308a06b1c00ee186cb9e19321383f043b993813f1522c47f4a3e3303bdba41"
"androidx.arch.core","core-runtime","2.2.0","core-runtime-2.2.0.aar","aar",,"7577","a1be5e0caa2b07623862af6ae21b3ab0718123245184d0e30dea81b53f990a47"
"androidx.autofill","autofill","1.0.0","autofill-1.0.0.aar","aar",,"4280","c9468f56e05006ea151a426c54957cd0799b8b83a579d2846dd22061f33e5ecd"
"androidx.biometric","biometric","1.1.0","biometric-1.1.0.aar","aar",,"194748","270c7b7d99942d5ec1dd88594e4648feb33d8e31d8c3c2ab2321d49d9abdfc1f"
"androidx.camera","camera-camera2","1.4.1","camera-camera2-1.4.1.aar","aar",,"488750","173253ed32c2f60e77081aab72e61dbcc4e767c9fe56cbb9b88f762b7725e99b"
"androidx.camera","camera-core","1.4.1","camera-core-1.4.1.aar","aar",,"938840","6c77068806cf259bbaa7ed955935bf2cd16dc103feb32f7ae3d55823fc9fcfc7"
"androidx.camera","camera-lifecycle","1.4.1","camera-lifecycle-1.4.1.aar","aar",,"38454","8324adb2c047905fffbd10a5bd978818157943619b91fcf410de94bd97b619a9"
