"project","kind","configuration","components","externalArtifacts","unresolved","artifactFailures"
":","buildscript","classpath","158","149","0","0"
":app","project","_internal-unified-test-platform-android-device-provider-ddmlib","36","33","0","0"
":app","project","_internal-unified-test-platform-android-driver-instrumentation","27","25","0","0"
":app","project","_internal-unified-test-platform-android-test-plugin","21","20","0","0"
":app","project","_internal-unified-test-platform-android-test-plugin-host-additional-test-output","38","34","0","0"
":app","project","_internal-unified-test-platform-android-test-plugin-host-apk-installer","32","29","0","0"
":app","project","_internal-unified-test-platform-android-test-plugin-host-coverage","31","28","0","0"
":app","project","_internal-unified-test-platform-android-test-plugin-host-device-info","38","34","0","0"
":app","project","_internal-unified-test-platform-android-test-plugin-host-emulator-control","62","58","0","0"
":app","project","_internal-unified-test-platform-android-test-plugin-host-logcat","38","34","0","0"
":app","project","_internal-unified-test-platform-android-test-plugin-result-listener-gradle","57","54","0","0"
":app","project","_internal-unified-test-platform-core","48","46","0","0"
":app","project","_internal-unified-test-platform-launcher","24","21","0","0"
":app","project","detekt","45","40","0","0"
":app","project","detektPlugins","10","10","0","0"
":app","project","devDebugAndroidTestAnnotationProcessorClasspath","0","0","0","0"
":app","project","devDebugAndroidTestCompileClasspath","127","104","0","0"
":app","project","devDebugAndroidTestRuntimeClasspath","87","67","0","0"
":app","project","devDebugAnnotationProcessorClasspath","0","0","0","0"
":app","project","devDebugCompileClasspath","109","89","0","0"
":app","project","devDebugRuntimeClasspath","134","113","0","0"
":app","project","devDebugUnitTestAnnotationProcessorClasspath","0","0","0","0"
":app","project","devDebugUnitTestCompileClasspath","114","93","0","0"
":app","project","devDebugUnitTestRuntimeClasspath","144","14","0","0"
":app","project","devReleaseAnnotationProcessorClasspath","0","0","0","0"
":app","project","devReleaseCompileClasspath","108","88","0","0"
":app","project","devReleaseRuntimeClasspath","133","112","0","0"
":app","project","devReleaseUnitTestAnnotationProcessorClasspath","0","0","0","0"
":app","project","devReleaseUnitTestCompileClasspath","113","92","0","0"
":app","project","devReleaseUnitTestRuntimeClasspath","143","14","0","0"
":app","project","kotlinBuildToolsApiClasspath","17","17","0","0"
":app","project","kotlinCompilerClasspath","8","8","0","0"
":app","project","kotlinCompilerPluginClasspath","0","0","0","0"
":app","project","kotlinCompilerPluginClasspathDevDebug","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathDevDebugAndroidTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathDevDebugUnitTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathDevRelease","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathDevReleaseUnitTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathProdDebug","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathProdDebugAndroidTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathProdDebugUnitTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathProdRelease","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathProdReleaseUnitTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathQaDebug","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathQaDebugAndroidTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathQaDebugUnitTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathQaRelease","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathQaReleaseUnitTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathStagingDebug","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathStagingDebugAndroidTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathStagingDebugUnitTest","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathStagingRelease","11","7","0","0"
":app","project","kotlinCompilerPluginClasspathStagingReleaseUnitTest","11","7","0","0"
":app","project","kspDevDebugAndroidTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspDevDebugKotlinProcessorClasspath","37","37","0","0"
":app","project","kspDevDebugUnitTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspDevReleaseKotlinProcessorClasspath","37","37","0","0"
":app","project","kspDevReleaseUnitTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspPluginClasspath","10","6","0","0"
":app","project","kspPluginClasspathNonEmbeddable","10","6","0","0"
":app","project","kspProdDebugAndroidTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspProdDebugKotlinProcessorClasspath","37","37","0","0"
":app","project","kspProdDebugUnitTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspProdReleaseKotlinProcessorClasspath","37","37","0","0"
":app","project","kspProdReleaseUnitTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspQaDebugAndroidTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspQaDebugKotlinProcessorClasspath","37","37","0","0"
":app","project","kspQaDebugUnitTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspQaReleaseKotlinProcessorClasspath","37","37","0","0"
":app","project","kspQaReleaseUnitTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspStagingDebugAndroidTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspStagingDebugKotlinProcessorClasspath","37","37","0","0"
":app","project","kspStagingDebugUnitTestKotlinProcessorClasspath","37","37","0","0"
":app","project","kspStagingReleaseKotlinProcessorClasspath","37","37","0","0"
":app","project","kspStagingReleaseUnitTestKotlinProcessorClasspath","37","37","0","0"
":app","project","lintChecks","0","0","0","0"
