"coordinate","osvMatches","disposition"
"androidx.activity:activity-compose:1.9.3","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.activity:activity-ktx:1.9.3","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.activity:activity:1.9.3","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.annotation:annotation-experimental:1.4.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.annotation:annotation-jvm:1.8.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.annotation:annotation:1.8.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.appcompat:appcompat-resources:1.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.appcompat:appcompat:1.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.arch.core:core-common:2.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.arch.core:core-runtime:2.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.autofill:autofill:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.biometric:biometric:1.1.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.camera:camera-camera2:1.4.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.camera:camera-core:1.4.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.camera:camera-lifecycle:1.4.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.collection:collection-jvm:1.4.4","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.collection:collection-ktx:1.4.4","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.collection:collection:1.4.4","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose:compose-bom:2024.12.01","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.animation:animation-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.animation:animation-core-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.animation:animation-core:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.animation:animation:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.foundation:foundation-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.foundation:foundation-layout-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.foundation:foundation-layout:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.foundation:foundation:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material:material-icons-core-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material:material-icons-core:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material:material-icons-extended-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material:material-icons-extended:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material:material-ripple-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material:material-ripple:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material3:material3-android:1.3.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material3:material3:1.3.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.runtime:runtime-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.runtime:runtime-saveable-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.runtime:runtime-saveable:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.runtime:runtime:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-geometry-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-geometry:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-graphics-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-graphics:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-text-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-text:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-tooling-preview-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-tooling-preview:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-unit-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-unit:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-util-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-util:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.concurrent:concurrent-futures-ktx:1.1.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.concurrent:concurrent-futures:1.1.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.core:core-ktx:1.15.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.core:core:1.15.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.cursoradapter:cursoradapter:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.customview:customview-poolingcontainer:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.customview:customview:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.drawerlayout:drawerlayout:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.emoji2:emoji2:1.3.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.exifinterface:exifinterface:1.3.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.fragment:fragment:1.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.graphics:graphics-path:1.0.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.hilt:hilt-navigation-compose:1.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.hilt:hilt-navigation:1.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.interpolator:interpolator:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-common-java8:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-common-jvm:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-common:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-livedata-core-ktx:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-livedata-core:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-livedata:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-process:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-runtime-android:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-runtime-compose-android:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-runtime-compose:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-runtime-ktx-android:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-runtime-ktx:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-runtime:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-viewmodel-android:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-viewmodel-compose-android:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-viewmodel-compose:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-viewmodel-ktx:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-viewmodel-savedstate:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.lifecycle:lifecycle-viewmodel:2.8.7","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.loader:loader:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.navigation:navigation-common-ktx:2.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.navigation:navigation-common:2.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.navigation:navigation-compose:2.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.navigation:navigation-runtime-ktx:2.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.navigation:navigation-runtime:2.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.profileinstaller:profileinstaller:1.3.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.room:room-common:2.6.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.room:room-ktx:2.6.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.room:room-runtime:2.6.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.savedstate:savedstate-ktx:1.2.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.savedstate:savedstate:1.2.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.security:security-crypto:1.1.0-alpha06","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.sqlite:sqlite-framework:2.4.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.sqlite:sqlite-ktx:2.4.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.sqlite:sqlite:2.4.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.startup:startup-runtime:1.1.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.tracing:tracing-ktx:1.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.tracing:tracing:1.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.vectordrawable:vectordrawable-animated:1.1.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.vectordrawable:vectordrawable:1.1.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.versionedparcelable:versionedparcelable:1.1.1","","Retain pending scoped work packages; no OSV match is not security clearance"
