"group","artifact","version","evidence"
"androidx.activity","activity","1.9.3","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.activity","activity-compose","1.9.3","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.activity","activity-ktx","1.9.3","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.annotation","annotation","1.8.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.annotation","annotation-experimental","1.4.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.annotation","annotation-jvm","1.8.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.appcompat","appcompat","1.2.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.appcompat","appcompat-resources","1.2.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.arch.core","core-common","2.2.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.arch.core","core-runtime","2.2.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.autofill","autofill","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.biometric","biometric","1.1.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.camera","camera-camera2","1.4.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.camera","camera-core","1.4.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.camera","camera-lifecycle","1.4.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.collection","collection","1.4.4","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.collection","collection-jvm","1.4.4","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.collection","collection-ktx","1.4.4","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose","compose-bom","2024.12.01","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.animation","animation","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.animation","animation-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.animation","animation-core","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.animation","animation-core-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.foundation","foundation","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.foundation","foundation-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
