"coordinate","configurations","parents","osvMatches","disposition"
"com.google.protobuf:protobuf-java:3.24.4",":app/project/_internal-unified-test-platform-android-driver-instrumentation; :app/project/_internal-unified-test-platform-android-test-plugin; :app/project/_internal-unified-test-platform-core; :app/project/_internal-unified-test-platform-launcher","com.google.api.grpc:proto-google-common-protos:2.17.0; com.google.protobuf:protobuf-java-util:3.22.3; com.google.protobuf:protobuf-java-util:3.24.4; com.google.protobuf:protobuf-kotlin:3.24.4; com.google.testing.platform:android-driver-instrumentation:0.0.9-alpha03; com.google.testing.platform:android-test-plugin:0.0.9-alpha03; com.google.testing.platform:core:0.0.9-alpha03; com.google.testing.platform:launcher:0.0.9-alpha03; io.grpc:grpc-protobuf:1.57.2; io.opencensus:opencensus-proto:0.2.0","GHSA-735f-pc8j-v9w8","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"com.google.protobuf:protobuf-kotlin:3.24.4",":app/project/_internal-unified-test-platform-android-device-provider-ddmlib; :app/project/_internal-unified-test-platform-android-driver-instrumentation; :app/project/_internal-unified-test-platform-android-test-plugin; :app/project/_internal-unified-test-platform-android-test-plugin-host-additional-test-output; :app/project/_internal-unified-test-platform-android-test-plugin-host-apk-installer; :app/project/_internal-unified-test-platform-android-test-plugin-host-coverage; :app/project/_internal-unified-test-platform-android-test-plugin-host-device-info; :app/project/_internal-unified-test-platform-android-test-plugin-host-emulator-control; :app/project/_internal-unified-test-platform-android-test-plugin-host-logcat; :app/project/_internal-unified-test-platform-android-test-plugin-result-listener-gradle; :app/project/_internal-unified-test-platform-core; :app/project/_internal-unified-test-platform-launcher","com.google.testing.platform:android-device-provider-local:0.0.9-alpha03; com.google.testing.platform:android-driver-instrumentation:0.0.9-alpha03; com.google.testing.platform:android-test-plugin:0.0.9-alpha03; com.google.testing.platform:core:0.0.9-alpha03; com.google.testing.platform:launcher:0.0.9-alpha03","GHSA-735f-pc8j-v9w8","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-codec-http:4.1.110.Final",":/buildscript/classpath; :app/project/_internal-unified-test-platform-android-test-plugin-host-emulator-control; :app/project/_internal-unified-test-platform-android-test-plugin-result-listener-gradle","io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-handler-proxy:4.1.110.Final","GHSA-38f8-5428-x5cv; GHSA-4mp9-239f-g9hg; GHSA-57rv-r2g8-2cj3; GHSA-6cqp-g7gg-8hr5; GHSA-6jqx-86gh-f27w; GHSA-84h7-rjj3-6jx4; GHSA-8c42-7qj2-3j46; GHSA-f6hv-jmp6-3vwv; GHSA-fghv-69vj-qj49; GHSA-gcjf-9mgh-3p7g; GHSA-hvcg-qmg6-jm4c; GHSA-jppx-w49h-x2qq; GHSA-m4cv-j2px-7723; GHSA-mvh2-crg5-v77c; GHSA-pwqr-wmgm-9rr8; GHSA-q4f6-jm68-57ww; GHSA-v8h7-rr48-vmmv; GHSA-xxqh-mfjm-7mv9","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-codec-http:4.1.93.Final",":app/project/_internal-unified-test-platform-core","io.netty:netty-codec-http2:4.1.93.Final; io.netty:netty-handler-proxy:4.1.93.Final","GHSA-38f8-5428-x5cv; GHSA-4mp9-239f-g9hg; GHSA-57rv-r2g8-2cj3; GHSA-5jpm-x58v-624v; GHSA-6cqp-g7gg-8hr5; GHSA-6jqx-86gh-f27w; GHSA-84h7-rjj3-6jx4; GHSA-8c42-7qj2-3j46; GHSA-f6hv-jmp6-3vwv; GHSA-fghv-69vj-qj49; GHSA-gcjf-9mgh-3p7g; GHSA-hvcg-qmg6-jm4c; GHSA-jppx-w49h-x2qq; GHSA-m4cv-j2px-7723; GHSA-mvh2-crg5-v77c; GHSA-pwqr-wmgm-9rr8; GHSA-q4f6-jm68-57ww; GHSA-v8h7-rr48-vmmv; GHSA-xxqh-mfjm-7mv9","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-codec-http2:4.1.110.Final",":/buildscript/classpath; :app/project/_internal-unified-test-platform-android-test-plugin-host-emulator-control; :app/project/_internal-unified-test-platform-android-test-plugin-result-listener-gradle","io.grpc:grpc-netty:1.69.1","GHSA-563q-j3cm-6jxm; GHSA-5x3r-wrvg-rp6q; GHSA-93wv-jw9v-4972; GHSA-c2gf-v879-257j; GHSA-c69g-56f8-xwqj; GHSA-f6hv-jmp6-3vwv; GHSA-prj3-ccx8-p6x4; GHSA-w9fj-cfpg-grvv","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-codec-http2:4.1.93.Final",":app/project/_internal-unified-test-platform-core","io.grpc:grpc-netty:1.57.2","GHSA-563q-j3cm-6jxm; GHSA-5x3r-wrvg-rp6q; GHSA-93wv-jw9v-4972; GHSA-c2gf-v879-257j; GHSA-c69g-56f8-xwqj; GHSA-f6hv-jmp6-3vwv; GHSA-prj3-ccx8-p6x4; GHSA-w9fj-cfpg-grvv; GHSA-xpw8-rcwv-8f8p","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-codec:4.1.110.Final",":/buildscript/classpath; :app/project/_internal-unified-test-platform-android-test-plugin-host-emulator-control; :app/project/_internal-unified-test-platform-android-test-plugin-result-listener-gradle","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-socks:4.1.110.Final; io.netty:netty-handler-proxy:4.1.110.Final; io.netty:netty-handler:4.1.110.Final","GHSA-3p8m-j85q-pgmj; GHSA-558v-64gr-wgg4; GHSA-mj4r-2hfc-f8p6","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-codec:4.1.93.Final",":app/project/_internal-unified-test-platform-core","io.netty:netty-codec-http:4.1.93.Final; io.netty:netty-codec-http2:4.1.93.Final; io.netty:netty-codec-socks:4.1.93.Final; io.netty:netty-handler-proxy:4.1.93.Final; io.netty:netty-handler:4.1.93.Final","GHSA-3p8m-j85q-pgmj; GHSA-558v-64gr-wgg4; GHSA-mj4r-2hfc-f8p6","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-common:4.1.110.Final",":/buildscript/classpath; :app/project/_internal-unified-test-platform-android-test-plugin-host-emulator-control; :app/project/_internal-unified-test-platform-android-test-plugin-result-listener-gradle","io.netty:netty-buffer:4.1.110.Final; io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-socks:4.1.110.Final; io.netty:netty-codec:4.1.110.Final; io.netty:netty-handler-proxy:4.1.110.Final; io.netty:netty-handler:4.1.110.Final; io.netty:netty-resolver:4.1.110.Final; io.netty:netty-transport-native-unix-common:4.1.110.Final; io.netty:netty-transport:4.1.110.Final","GHSA-389x-839f-4rhx; GHSA-xq3w-v528-46rv","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-common:4.1.93.Final",":app/project/_internal-unified-test-platform-core","io.netty:netty-buffer:4.1.93.Final; io.netty:netty-codec-http:4.1.93.Final; io.netty:netty-codec-http2:4.1.93.Final; io.netty:netty-codec-socks:4.1.93.Final; io.netty:netty-codec:4.1.93.Final; io.netty:netty-handler-proxy:4.1.93.Final; io.netty:netty-handler:4.1.93.Final; io.netty:netty-resolver:4.1.93.Final; io.netty:netty-transport-native-unix-common:4.1.93.Final; io.netty:netty-transport:4.1.93.Final","GHSA-389x-839f-4rhx; GHSA-xq3w-v528-46rv","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-handler-proxy:4.1.110.Final",":/buildscript/classpath; :app/project/_internal-unified-test-platform-android-test-plugin-host-emulator-control; :app/project/_internal-unified-test-platform-android-test-plugin-result-listener-gradle","io.grpc:grpc-netty:1.69.1","GHSA-45q3-82m4-75jr","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-handler-proxy:4.1.93.Final",":app/project/_internal-unified-test-platform-core","io.grpc:grpc-netty:1.57.2","GHSA-45q3-82m4-75jr","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-handler:4.1.110.Final",":/buildscript/classpath; :app/project/_internal-unified-test-platform-android-test-plugin-host-emulator-control; :app/project/_internal-unified-test-platform-android-test-plugin-result-listener-gradle","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http2:4.1.110.Final","GHSA-3qp7-7mw8-wx86; GHSA-4g8c-wm8x-jfhw; GHSA-c4c3-7fpv-j4q5; GHSA-c653-97m9-rcg9; GHSA-fccg-mwvh-qqg4; GHSA-x4gw-5cx5-pgmh","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"io.netty:netty-handler:4.1.93.Final",":app/project/_internal-unified-test-platform-core","io.netty:netty-codec-http:4.1.93.Final; io.netty:netty-codec-http2:4.1.93.Final","GHSA-3qp7-7mw8-wx86; GHSA-4g8c-wm8x-jfhw; GHSA-6mjq-h674-j845; GHSA-c4c3-7fpv-j4q5; GHSA-c653-97m9-rcg9; GHSA-fccg-mwvh-qqg4; GHSA-x4gw-5cx5-pgmh","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"org.apache.commons:commons-compress:1.21",":/buildscript/classpath","com.android.tools:repository:31.13.2; com.android.tools:sdk-common:31.13.2; com.android.tools:sdklib:31.13.2","GHSA-4265-ccf5-phj5; GHSA-4g9r-vxhx-9pgx","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"org.bitbucket.b_c:jose4j:0.9.5",":/buildscript/classpath","com.android.tools.build:bundletool:1.18.1","GHSA-3677-xxcr-wjqv","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"org.bouncycastle:bcpkix-jdk18on:1.79",":/buildscript/classpath","com.android.tools:sdk-common:31.13.2; com.android.tools.build:apkzlib:8.13.2; com.android.tools.build:builder:8.13.2; com.android.tools.build:gradle:8.13.2","GHSA-wg6q-6289-32hp","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"org.bouncycastle:bcprov-jdk18on:1.78.1",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","project :app","GHSA-574f-3g2m-x479; GHSA-9pwp-9qqc-pr26; GHSA-c3fc-8qff-9hwx; GHSA-qp49-qgx5-5m26","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"org.bouncycastle:bcprov-jdk18on:1.79",":/buildscript/classpath","com.android.tools:sdk-common:31.13.2; com.android.tools.build:apkzlib:8.13.2; com.android.tools.build:builder:8.13.2; org.bouncycastle:bcpkix-jdk18on:1.79; org.bouncycastle:bcutil-jdk18on:1.79","GHSA-574f-3g2m-x479; GHSA-9pwp-9qqc-pr26; GHSA-c3fc-8qff-9hwx; GHSA-qp49-qgx5-5m26","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"org.jdom:jdom2:2.0.6",":/buildscript/classpath","com.android.tools.build.jetifier:jetifier-processor:1.0.0-beta10","GHSA-2363-cqg2-863c","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"org.jetbrains.kotlin:kotlin-gradle-plugin:2.1.0",":/buildscript/classpath","org.jetbrains.kotlin:compose-compiler-gradle-plugin:2.1.0; org.jetbrains.kotlin.android:org.jetbrains.kotlin.android.gradle.plugin:2.1.0","GHSA-r937-wjx7-w2jp","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
