"coordinate","configurations","parents","osvMatches","disposition"
"androidx.activity:activity-compose:1.9.3",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.material3:material3-android:1.3.1; androidx.compose.ui:ui-test-android:1.7.6; androidx.compose.ui:ui-test-junit4-android:1.7.6; androidx.navigation:navigation-compose:2.5.1; project :app","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.activity:activity-ktx:1.9.3",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.activity:activity-compose:1.9.3; androidx.compose.ui:ui-android:1.7.6; androidx.navigation:navigation-runtime:2.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.activity:activity:1.9.3",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.activity:activity-ktx:1.9.3; androidx.biometric:biometric:1.1.0; androidx.compose.ui:ui-test-junit4-android:1.7.6; androidx.compose.ui:ui-test-manifest:1.7.6; androidx.fragment:fragment:1.5.1; com.google.dagger:hilt-android:2.56.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.annotation:annotation-experimental:1.4.1",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.camera:camera-core:1.4.1; androidx.compose.animation:animation-android:1.7.6; androidx.compose.foundation:foundation-android:1.7.6; androidx.compose.foundation:foundation-layout-android:1.7.6; androidx.compose.material3:material3-android:1.3.1; androidx.compose.runtime:runtime-android:1.7.6; androidx.compose.ui:ui-android:1.7.6; androidx.compose.ui:ui-graphics-android:1.7.6; androidx.compose.ui:ui-text-android:1.7.6; androidx.compose.ui:ui-unit-android:1.7.6; androidx.compose.ui:ui-util-android:1.7.6; androidx.core:core:1.15.0; androidx.fragment:fragment:1.5.1; androidx.navigation:navigation-runtime:2.5.1; androidx.room:room-runtime:2.6.1; androidx.test:annotation:1.0.1; com.google.dagger:hilt-android:2.56.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.annotation:annotation-jvm:1.8.1",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.annotation:annotation:1.8.1; com.google.dagger:hilt-android:2.56.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.annotation:annotation:1.3.0",":app/project/kspDevDebugAndroidTestKotlinProcessorClasspath; :app/project/kspDevDebugKotlinProcessorClasspath; :app/project/kspDevDebugUnitTestKotlinProcessorClasspath; :app/project/kspDevReleaseKotlinProcessorClasspath; :app/project/kspDevReleaseUnitTestKotlinProcessorClasspath; :app/project/kspProdDebugAndroidTestKotlinProcessorClasspath; :app/project/kspProdDebugKotlinProcessorClasspath; :app/project/kspProdDebugUnitTestKotlinProcessorClasspath; :app/project/kspProdReleaseKotlinProcessorClasspath; :app/project/kspProdReleaseUnitTestKotlinProcessorClasspath; :app/project/kspQaDebugAndroidTestKotlinProcessorClasspath; :app/project/kspQaDebugKotlinProcessorClasspath; :app/project/kspQaDebugUnitTestKotlinProcessorClasspath; :app/project/kspQaReleaseKotlinProcessorClasspath; :app/project/kspQaReleaseUnitTestKotlinProcessorClasspath; :app/project/kspStagingDebugAndroidTestKotlinProcessorClasspath; :app/project/kspStagingDebugKotlinProcessorClasspath; :app/project/kspStagingDebugUnitTestKotlinProcessorClasspath; :app/project/kspStagingReleaseKotlinProcessorClasspath; :app/project/kspStagingReleaseUnitTestKotlinProcessorClasspath","androidx.room:room-common:2.6.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.annotation:annotation:1.8.1",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.activity:activity:1.9.3; androidx.appcompat:appcompat-resources:1.2.0; androidx.appcompat:appcompat:1.2.0; androidx.arch.core:core-common:2.2.0; androidx.arch.core:core-runtime:2.2.0; androidx.biometric:biometric:1.1.0; androidx.camera:camera-camera2:1.4.1; androidx.camera:camera-core:1.4.1; androidx.collection:collection-jvm:1.4.4; androidx.compose.animation:animation-android:1.7.6; androidx.compose.animation:animation-core-android:1.7.6; androidx.compose.foundation:foundation-android:1.7.6; androidx.compose.foundation:foundation-layout-android:1.7.6; androidx.compose.material3:material3-android:1.3.1; androidx.compose.runtime:runtime-saveable-android:1.7.6; androidx.compose.ui:ui-android:1.7.6; androidx.compose.ui:ui-geometry-android:1.7.6; androidx.compose.ui:ui-graphics-android:1.7.6; androidx.compose.ui:ui-test-android:1.7.6; androidx.compose.ui:ui-test-junit4-android:1.7.6; androidx.compose.ui:ui-text-android:1.7.6; androidx.compose.ui:ui-tooling-preview-android:1.7.6; androidx.compose.ui:ui-unit-android:1.7.6; androidx.concurrent:concurrent-futures:1.1.0; androidx.core:core-ktx:1.15.0; androidx.core:core:1.15.0; androidx.cursoradapter:cursoradapter:1.0.0; androidx.customview:customview:1.0.0; androidx.drawerlayout:drawerlayout:1.0.0; androidx.emoji2:emoji2:1.3.0; androidx.exifinterface:exifinterface:1.3.2; androidx.fragment:fragment:1.5.1; androidx.hilt:hilt-navigation:1.2.0; androidx.interpolator:interpolator:1.0.0; androidx.lifecycle:lifecycle-common-java8:2.8.7; androidx.lifecycle:lifecycle-common-jvm:2.8.7; androidx.lifecycle:lifecycle-process:2.8.7; androidx.lifecycle:lifecycle-runtime-android:2.8.7; androidx.lifecycle:lifecycle-runtime-compose-android:2.8.7; androidx.lifecycle:lifecycle-runtime-ktx-android:2.8.7; androidx.lifecycle:lifecycle-viewmodel-android:2.8.7; androidx.lifecycle:lifecycle-viewmodel-compose-android:2.8.7; androidx.lifecycle:lifecycle-viewmodel-savedstate:2.8.7; androidx.loader:loader:1.0.0; androidx.navigation:navigation-common:2.5.1; androidx.profileinstaller:profileinstaller:1.3.1; androidx.room:room-common:2.6.1; androidx.savedstate:savedstate:1.2.1; androidx.security:security-crypto:1.1.0-alpha06; androidx.sqlite:sqlite-framework:2.4.0; androidx.sqlite:sqlite:2.4.0; androidx.startup:startup-runtime:1.1.1; androidx.test:annotation:1.0.1; androidx.test:core:1.6.1; androidx.test:monitor:1.7.2; androidx.test:runner:1.6.2; androidx.test.espresso:espresso-core:3.5.0; androidx.test.ext:junit:1.2.1; androidx.test.services:storage:1.5.0; androidx.test.uiautomator:uiautomator:2.3.0; androidx.tracing:tracing:1.2.0; androidx.vectordrawable:vectordrawable:1.1.0; androidx.versionedparcelable:versionedparcelable:1.1.1; androidx.viewpager:viewpager:1.0.0; com.google.dagger:hilt-android:2.56.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.appcompat:appcompat-resources:1.2.0",":app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.appcompat:appcompat:1.2.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.appcompat:appcompat:1.2.0",":app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.biometric:biometric:1.1.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.arch.core:core-common:2.2.0",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.arch.core:core-runtime:2.2.0; androidx.lifecycle:lifecycle-livedata-core:2.8.7; androidx.lifecycle:lifecycle-livedata:2.8.7; androidx.lifecycle:lifecycle-runtime-android:2.8.7; androidx.savedstate:savedstate:1.2.1","","Retain pending scoped work packages; no OSV match is not security clearance"
